,time,title,url
20,,Bitcoin ETF Filed with SEC by Leading Gold Fund Manager Vaneck,https://news.bitcoin.com/bitcoin-etf-filed-sec-leading-gold-fund-manager-vaneck/
21,,Goldman Sachs Technical Analyst Predicts Bitcoin’s ‘Top’ Is $4800,https://news.bitcoin.com/goldman-sachs-technical-analyst-predicts-bitcoins-top-is-4800/
22,,PR: Solar DAO: Invest to the SUN. First real solar ICO,https://news.bitcoin.com/pr-solar-dao-invest-sun-first-real-solar-ico/
23,2017-08-13T11:00:23+00:00,Uruguay Urged to Provide Services to Cannabusiness – Or Bitcoin Will,https://news.bitcoin.com/uruguay-national-bank-urged-to-provide-banking-services-to-cannabis-industry-otherwise-bitcoin-will/
24,2017-08-13T06:00:10+00:00,US Foreign Sanctions Bill Mandates That Governments Monitor Cryptocurrency,https://news.bitcoin.com/us-foreign-sanctions-bill-mandates-that-governments-monitor-cryptocurrency/
25,2017-08-13T03:59:50+00:00,Bitcoin Flies Past New All-Time High of $4K Across Global Exchanges,https://news.bitcoin.com/bitcoin-sets-another-all-time-high-of-4k-across-global-exchanges/
26,2017-08-12T16:00:44+00:00,Circle Financial CEO: “We Trade Over $1B in Crypto per Month”,https://news.bitcoin.com/circle-financial-ceo-we-trade-over-1b-in-crypto-per-month/
27,2017-08-12T11:40:48+00:00,Lightning Network Wallet Zap Launches Beta Release,https://news.bitcoin.com/lightning-network-wallet-zap-launches-beta-release/
28,2017-08-12T06:40:47+00:00,Podcast With Bitcoin Enthusiast and Country Artist Corb Lund,https://news.bitcoin.com/new-bitcoin-com-podcast-with-bitcoin-enthusiast-and-country-artist-corb-lund/
29,2017-08-12T01:52:26+00:00,Game of Thrones Hackers Demand $7.5M in Bitcoin From HBO –...,https://news.bitcoin.com/game-of-thrones-hackers-demand-7-5m-in-bitcoin-from-hbo/
30,2017-08-11T15:53:05+00:00,Bitfinex Drops US Customers,https://news.bitcoin.com/bitfinex-drops-us-customers/
31,2017-08-11T12:38:52+00:00,Markets Update: Bitcoin Rallies While Traditional Assets Tumble Worldwide,https://news.bitcoin.com/markets-update-bitcoin-rallies-while-traditional-assets-tumble-worldwide/
32,2017-08-11T11:11:07+00:00,Japanese Exchange Coincheck to Invest in Crypto Startups and ICOs,https://news.bitcoin.com/japanese-exchange-coincheck-to-invest-in-crypto-startups-and-icos/
33,2017-08-11T06:06:15+00:00,First Bitcoin Exchange Launching in Egypt,https://news.bitcoin.com/first-bitcoin-exchange-launching-in-egypt/
34,2017-08-11T03:14:05+00:00,UK Police Drafts Detailed Bitcoin Seizure Guide,https://news.bitcoin.com/uk-police-drafts-detailed-bitcoin-seizure-guide/
35,2017-08-10T20:30:06+00:00,Australian Primary School Students Explore Bitcoin,https://news.bitcoin.com/australian-primary-school-students-explore-bitcoin-and-cryptocurrency-technology/
36,2017-08-10T15:30:22+00:00,Bitcoin Cash Gains More Support,https://news.bitcoin.com/bitcoin-cash-gains-more-support/
37,2017-08-10T14:07:43+00:00,Coinbase Raises $100M to “Help Accelerate Digital Currency Adoption”,https://news.bitcoin.com/coinbase-raises-100m-to-help-accelerate-digital-currency-adoption/
38,2017-08-10T10:30:38+00:00,MAPS to Accept Altcoins for Research on MDMA Psychedelic Medicine,https://news.bitcoin.com/maps-to-accept-more-cryptocurrencies-for-research-on-psychedelic-medicine/
39,2017-08-10T05:00:26+00:00,Bitcoin Proponent Calvin Ayre Appointed Economic Envoy for Antigua and Barbuda,https://news.bitcoin.com/bitcoin-proponent-calvin-ayre-appointed-economic-envoy-for-antigua-and-barbuda/
40,2017-08-10T02:04:14+00:00,Segwit2x Working Group Announces Hard Fork Roadmap,https://news.bitcoin.com/segwit2x-working-group-announces-the-hard-fork-roadmap/
